id;state_number;model;vehicle_type;capacity;passenger_capacity;year;technical_status;mileage
1;into inclu;perfectly substantial that;BUS;LARGE;1164;14750;OPERATIONAL;2013.42
2;knowingly ;vacantly mean elderly;TRAM;MEDIUM;4869;12252;REPAIR;17961.75
3;proceed;limping cluttered through;TRAM;LARGE;21724;11156;OPERATIONAL;24827.21
4;likewise u;treble bah;TRAM;LARGE;6628;12919;SCRAPPED;7977.56
5;dearly kna;once;BUS;SMALL;13032;4833;REPAIR;18989.74
6;victorious;doting better;BUS;MEDIUM;24501;28589;REPAIR;13718.73
7;dusk;failing;TROLLEY;SMALL;10384;18943;REPAIR;23336.83
8;phooey apo;unimpressively;BUS;MEDIUM;15868;5715;REPAIR;5341.88
9;yet;best-seller;TROLLEY;LARGE;15132;23855;REPAIR;11293.13
10;warmhearte;untried sardonic;BUS;LARGE;24219;874;OPERATIONAL;15618.54
