id;document_number;actual_departure;actual_return;mileage_start;mileage_end;fuel_consumption_plan;fuel_consumption_fact
1;inasmuch lustrous;2026-03-26T06:33:58;2026-03-26T08:38:16;17946.83;6034.45;21612.17;14625.72
2;adjudge past;2026-03-25T18:00:19;2026-03-25T22:01:28;20534.72;14337.65;21729.32;27448.47
3;warmhearted;2026-03-25T22:58:44;2026-03-25T19:20:24;30605.06;13409.81;5380.4;24337.18
4;excepting;2026-03-26T01:09:18;2026-03-25T21:24:50;6637.62;22103;25439.95;857.22
5;tennis e-mail solace;2026-03-26T11:55:33;2026-03-26T09:37:24;31613.31;23534.59;16406.95;18238.36
6;croon selfishly why;2026-03-26T00:28:18;2026-03-26T13:11:55;19393.87;3570.55;21272.57;10644.21
7;scarily afore scaril;2026-03-26T01:42:40;2026-03-26T05:23:58;15135.96;12761.71;32559.91;31898.1
8;patroller towards;2026-03-26T04:09:42;2026-03-26T03:06:27;4286.5;1881.74;24170.73;2841.48
9;pliers;2026-03-26T04:58:26;2026-03-25T23:36:52;24839.09;24200.83;28903.76;1010.59
10;once how;2026-03-26T14:43:37;2026-03-26T10:49:29;18851.68;373.75;28792.85;31277.35
